"epoch_mjd","a","e","i","om","w","ma"
60400,5.212,0.0453,16.26,253.43,180.46,37.16
60400,5.293,0.0227,28.75,120.55,286.65,52.28
60400,5.188,0.1687,4.51,110.36,320.88,42.36
60400,5.12,0.0152,16.83,308.72,177.48,217.77
60400,5.247,0.0705,10.68,10.40,170.38,298.21
60400,5.217,0.1535,21.26,173.76,169.17,126.49
60400,5.265,0.0250,5.08,169.53,85.38,217.46
60400,5.187,0.0860,13.17,155.11,302.64,26.17
60400,5.21,0.1447,14.66,192.67,259.29,28.00
60400,5.253,0.0445,27.97,108.60,337.41,355.41
60400,5.311,0.0423,2.96,45.33,30.86,53.75
60400,5.205,0.1056,33.87,12.09,24.77,84.22
60400,5.192,0.0605,7.25,49.03,11.30,47.51
60400,5.171,0.0486,17.35,209.58,227.91,258.19
60400,5.152,0.1269,16.23,300.82,354.88,65.53
60400,5.191,0.0824,13.45,96.38,278.82,96.80
60400,5.14,0.0967,3.45,64.15,348.68,69.87
60400,5.211,0.0701,3.98,340.00,345.85,10.55
60400,5.062,0.0416,15.30,100.74,161.19,92.48
60400,5.193,0.2001,16.70,96.60,239.60,5.12
60400,5.217,0.1132,30.93,137.56,203.28,349.39
60400,5.178,0.0697,15.04,241.53,137.46,83.20
60400,5.139,0.0838,25.29,318.00,357.64,38.31
60400,5.225,0.0592,29.15,135.22,215.31,9.75
60400,5.163,0.0745,10.72,353.77,84.89,267.03
60400,5.161,0.0975,15.29,2.87,47.43,58.81
60400,5.269,0.0785,11.64,252.12,117.90,338.01
60400,5.14,0.0337,16.59,153.65,83.29,119.10
60400,5.145,0.0484,23.76,160.35,124.27,60.23
60400,5.135,0.0629,17.29,164.44,125.19,69.92
60400,5.164,0.0841,2.22,112.02,236.88,359.68
60400,5.176,0.1609,6.51,197.62,136.41,6.11
60400,5.23,0.0659,15.93,45.49,330.16,350.69
60400,5.192,0.0834,15.87,59.31,259.61,19.29
60400,5.144,0.0993,16.93,32.12,218.68,98.13
60400,5.213,0.0935,1.62,158.73,84.29,96.08
60400,5.2,0.1588,12.69,170.11,161.73,20.06
60400,5.234,0.0471,15.77,31.36,325.16,334.20
60400,5.189,0.0730,29.13,88.86,218.59,67.36
60400,5.246,0.0476,2.54,46.01,47.88,61.46
